task_id,has_shadow_delete,has_recovery_disable,has_backup_delete,has_firewall_disable,has_eventlog_clear,has_persist_schtask,has_self_copy,has_process_enum,has_process_kill,has_service_access,has_rm_session,has_dir_enumerate,has_file_encrypt,has_file_rename,has_file_delete,has_crypto_api,has_ransom_note,has_wallpaper_set,has_registry_write,has_network,ord_penum_pkill,ord_penum_svc,ord_penum_dir,ord_penum_enc,ord_penum_ren,ord_penum_note,ord_penum_wall,ord_penum_reg,ord_pkill_svc,ord_pkill_dir,ord_pkill_enc,ord_pkill_ren,ord_pkill_note,ord_pkill_wall,ord_pkill_reg,ord_svc_dir,ord_svc_enc,ord_svc_ren,ord_svc_note,ord_svc_wall,ord_svc_reg,ord_dir_enc,ord_dir_ren,ord_dir_note,ord_dir_wall,ord_dir_reg,ord_enc_ren,ord_enc_note,ord_enc_wall,ord_enc_reg,ord_ren_note,ord_ren_wall,ord_ren_reg,ord_note_wall,ord_note_reg,ord_wall_reg
1098,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,1,1,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1099,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,,1,,,,,,,,0,0,0,0,,0,1,1,0,,1,1,0,,1,0,,1,,1,
109,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1102,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,1,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1103,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,,1,,,,,,,,0,0,0,0,,0,1,1,0,,1,1,0,,1,0,,1,,1,
1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,,1,,,,,,,,0,0,0,0,,0,1,1,0,,1,0,0,,0,0,,1,,1,
1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,1,1,1,1,,1,,,,,,,,0,0,0,0,,0,1,1,0,,1,1,0,,1,0,,1,,1,
1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
1110,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,,,0,1,1,1,1,,,1,0,0,0,,,0,1,1,,,0,0,,,0,,,0,,,
1111,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,,1,0,1,1,1,,1,,,,,,,,0,0,0,0,,0,1,1,1,,1,1,0,,1,0,,0,,1,
1112,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,,,,0,0,0,0,,,,0,0,0,,,,0,0,,,,1,1,,,,,,,,,,1
1113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,1,1,,0,1,,0,,0,
1115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,,,1,1,0,,,0,0,,,0,,,,,
1117,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1118,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,1,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1119,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,,1,1,1,1,1,0,1,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1
